Year,reconPDSI,obsPDSI
1950,-2.88286232,-2.530555556
1951,0.03718581,-0.390555556
1952,-0.96389857,-0.411666667
1953,-1.71955793,-1.175
1954,-2.66844559,-3.504444444
1955,0.17857435,-2.715
1956,-2.32173391,-2.587777778
1957,1.79117475,3.061666667
1958,1.30088245,3.319444444
1959,-0.9054915,0.345
1960,0.1522439,1.707777778
1961,0.70061531,1.197222222
1962,-0.69237116,-0.041666667
1963,-4.6033476,-3.751666667
1964,-1.22707963,-1.831666667
1965,0.24312486,-0.153888889
1966,-0.21501595,-2.103333333
1967,0.72575232,-0.433333333
1968,-1.92793393,-1.35
1969,2.63575541,1.18
1970,0.39127133,2.186666667
1971,0.22166778,0.483333333
1972,0.03306102,-1.575555556
1973,0.61464988,2.313333333
1974,-2.39503576,-1.128888889
1975,0.37854647,-0.663333333
1976,-0.38191499,-1.539444444
1977,0.86485487,-1.089444444
1978,0.01001104,0.031111111
1979,1.10807889,1.059444444
1980,-0.43112807,3.333333333
1981,-2.15255653,-2.024444444
1982,0.70621676,0.521111111
1983,1.01406161,3.186666667
1984,-0.34024838,0.423333333
1985,0.29919895,0.786111111
1986,-0.5240598,-1.225555556
1987,2.24877689,2.026666667
1988,1.04971592,0.075
1989,-1.27179319,-1.465555556
1990,0.86842343,0.924444444
